date,county,at_least_one_dose,fully_vaccinated,new_doses_administered
2021-03-28,Contra Costa,426762,268101,4446
2021-03-28,Del Norte,6088,3467,3
2021-03-28,El Dorado,61334,38149,702
2021-03-28,Fresno,290855,152383,3461
2021-03-28,Glenn,7492,4626,16
2021-03-28,Humboldt,42348,27691,266
2021-03-28,Imperial,55830,29063,282
2021-03-28,Inyo,5916,4084,2
2021-03-28,Kern,200802,111053,4776
2021-03-28,Kings,31668,15940,676
2021-03-28,Lake,18115,11834,16
2021-03-28,Lassen,4678,2456,12
2021-03-28,Los Angeles,3121802,1755866,43124
2021-03-28,Madera,40280,22141,447
2021-03-28,Marin,122643,77615,2400
2021-03-28,Mariposa,5011,2606,4
2021-03-28,Mendocino,34769,24637,26
2021-03-28,Merced,65851,33634,556
2021-03-28,Modoc,2389,1835,0
2021-03-28,Mono,6683,4090,0
2021-03-28,Monterey,131246,64501,1177
2021-03-28,Napa,58538,36493,497
2021-03-28,Nevada,34137,20322,212
2021-03-28,Orange,1034404,563728,25392
2021-03-28,Placer,131394,83846,1143
2021-03-28,Plumas,6342,3396,9
2021-03-28,Riverside,624224,372831,4922
2021-03-28,Sacramento,450935,258073,6777
2021-03-28,San Benito,16982,9213,751
2021-03-28,San Bernardino,475770,286860,3736
2021-03-28,San Diego,1071616,686304,15345
2021-03-28,San Francisco,360495,209380,6795
2021-03-28,San Joaquin,184569,104848,2828
2021-03-28,San Luis Obispo,90102,53815,631
2021-03-28,San Mateo,290297,186642,4292
2021-03-28,Santa Barbara,132334,72860,2823
2021-03-28,Santa Clara,597560,375928,12430
2021-03-28,Santa Cruz,97999,62121,870
2021-03-28,Shasta,45326,27978,408
2021-03-28,Sierra,1180,825,1
2021-03-28,Siskiyou,12787,7680,7
2021-03-28,Solano,146515,82845,1443
2021-03-28,Sonoma,198555,125033,1543
2021-03-28,Stanislaus,138835,75665,1141
2021-03-28,Sutter,26445,15788,126
2021-03-28,Tehama,12810,7458,40
2021-03-28,Trinity,3101,1960,4
2021-03-28,Tulare,119136,59792,1485
2021-03-28,Tuolumne,17964,11405,51
2021-03-28,Ventura,277957,157439,2536
2021-03-28,Yolo,75390,45742,1109
2021-03-28,Yuba,14246,8052,109
2021-03-27,Alameda,561781,368602,18634
2021-03-27,Alpine,642,284,0
2021-03-27,Amador,13014,7616,96
2021-03-27,Butte,61580,39095,324
2021-03-27,Calaveras,13070,8653,222
2021-03-27,Colusa,5756,3281,62
2021-03-27,Contra Costa,425036,265322,10967
2021-03-27,Del Norte,6087,3465,107
2021-03-27,El Dorado,61164,37607,1522
2021-03-27,Fresno,289050,150028,10208
2021-03-27,Glenn,7480,4622,172
2021-03-27,Humboldt,42199,27502,2309
2021-03-27,Imperial,55622,28978,728
2021-03-27,Inyo,5914,4084,49
2021-03-27,Kern,197799,109268,5792
2021-03-27,Kings,31351,15576,661
2021-03-27,Lake,18109,11824,306
2021-03-27,Lassen,4666,2445,18
2021-03-27,Los Angeles,3100976,1733075,85420
2021-03-27,Madera,40009,21904,949
2021-03-27,Marin,121812,76043,3727
2021-03-27,Mariposa,5007,2603,238
2021-03-27,Mendocino,34759,24617,170
2021-03-27,Merced,65660,33267,3683
2021-03-27,Modoc,2389,1835,2
2021-03-27,Mono,6683,4090,361
2021-03-27,Monterey,130597,63969,5139
2021-03-27,Napa,58355,36175,942
2021-03-27,Nevada,34085,20153,631
2021-03-27,Orange,1015679,557052,29087
2021-03-27,Placer,131076,83024,1639
2021-03-27,Plumas,6338,3390,16
2021-03-27,Riverside,621254,370783,9581
2021-03-27,Sacramento,448023,253957,10383
2021-03-27,San Benito,16852,8587,370
2021-03-27,San Bernardino,473080,285692,11094
2021-03-27,San Diego,1062207,680298,25583
2021-03-27,San Francisco,357617,205434,9139
2021-03-27,San Joaquin,183358,103249,4775
2021-03-27,San Luis Obispo,89640,53595,1035
2021-03-27,San Mateo,288221,184320,10744
2021-03-27,Santa Barbara,130437,71907,3020
2021-03-27,Santa Clara,590293,370072,16060
2021-03-27,Santa Cruz,97544,61692,2973
2021-03-27,Shasta,45016,27870,1531
2021-03-27,Sierra,1180,825,1
2021-03-27,Siskiyou,12781,7679,37
