date,county,confirmed_cases,reported_deaths
2021-09-23,Santa Cruz,19271,214
2021-09-23,Shasta,18535,262
2021-09-23,Sierra,128,0
2021-09-23,Siskiyou,2993,41
2021-09-23,Solano,43490,312
2021-09-23,Sonoma,39273,369
2021-09-23,Stanislaus,73142,1091
2021-09-23,Sutter,13022,154
2021-09-23,Tehama,7318,86
2021-09-23,Trinity,591,9
2021-09-23,Tulare,61492,898
2021-09-23,Tuolumne,6220,89
2021-09-23,Ventura,94348,1129
2021-09-23,Yolo,18487,239
2021-09-23,Yuba,9250,61
2021-09-22,Alameda,114388,1322
2021-09-22,Alpine,101,0
2021-09-22,Amador,4987,59
2021-09-22,Butte,18569,235
2021-09-22,Calaveras,3494,70
2021-09-22,Colusa,2389,16
2021-09-22,Contra Costa,94663,924
2021-09-22,Del Norte,3441,35
2021-09-22,El Dorado,14708,127
2021-09-22,Fresno,127007,1908
2021-09-22,Glenn,3178,25
2021-09-22,Humboldt,8079,80
2021-09-22,Imperial,31394,755
2021-09-22,Inyo,1680,39
2021-09-22,Kern,116689,1477
2021-09-22,Kings,28859,292
2021-09-22,Lake,6098,93
2021-09-22,Lassen,6305,25
2021-09-22,Los Angeles,1388683,25930
2021-09-22,Madera,20551,262
2021-09-22,Marin,16839,242
2021-09-22,Mariposa,923,5
2021-09-22,Mendocino,6731,70
2021-09-22,Merced,38608,541
2021-09-22,Modoc,463,5
2021-09-22,Mono,1513,3
2021-09-22,Monterey,46753,566
2021-09-22,Napa,12317,95
2021-09-22,Nevada,8332,84
2021-09-22,Orange,295701,5366
2021-09-22,Placer,33936,367
2021-09-22,Plumas,1240,6
2021-09-22,Riverside,344543,4830
2021-09-22,Sacramento,148426,2043
2021-09-22,San Benito,6991,67
2021-09-22,San Bernardino,339207,5528
2021-09-22,San Diego,353860,4027
2021-09-22,San Francisco,49964,610
2021-09-22,San Joaquin,93656,1626
2021-09-22,San Luis Obispo,27578,315
2021-09-22,San Mateo,51399,568
2021-09-22,Santa Barbara,41902,504
2021-09-22,Santa Clara,140404,1844
2021-09-22,Santa Cruz,19255,214
2021-09-22,Shasta,18460,260
2021-09-22,Sierra,128,0
2021-09-22,Siskiyou,2984,41
2021-09-22,Solano,43440,312
2021-09-22,Sonoma,39233,369
2021-09-22,Stanislaus,73031,1091
2021-09-22,Sutter,13013,153
2021-09-22,Tehama,7302,86
2021-09-22,Trinity,589,9
2021-09-22,Tulare,61366,896
2021-09-22,Tuolumne,6212,89
2021-09-22,Ventura,94292,1122
2021-09-22,Yolo,18455,239
2021-09-22,Yuba,9233,61
2021-09-21,Alameda,114277,1321
2021-09-21,Alpine,101,0
2021-09-21,Amador,4972,59
2021-09-21,Butte,18494,232
2021-09-21,Calaveras,3479,70
2021-09-21,Colusa,2387,16
2021-09-21,Contra Costa,94519,924
2021-09-21,Del Norte,3435,34
2021-09-21,El Dorado,14690,127
2021-09-21,Fresno,126728,1892
2021-09-21,Glenn,3171,25
2021-09-21,Humboldt,8066,80
2021-09-21,Imperial,31339,755
2021-09-21,Inyo,1675,39
2021-09-21,Kern,116465,1467
2021-09-21,Kings,28804,291
2021-09-21,Lake,6088,90
2021-09-21,Lassen,6284,25
2021-09-21,Los Angeles,1387486,25893
2021-09-21,Madera,20512,262
2021-09-21,Marin,16827,242
2021-09-21,Mariposa,922,5
2021-09-21,Mendocino,6713,68
2021-09-21,Merced,38523,539
2021-09-21,Modoc,461,5
2021-09-21,Mono,1513,3
2021-09-21,Monterey,46704,565
2021-09-21,Napa,12306,95
2021-09-21,Nevada,8322,84
2021-09-21,Orange,295411,5357
2021-09-21,Placer,33851,365
2021-09-21,Plumas,1236,5
2021-09-21,Riverside,344063,4817
2021-09-21,Sacramento,148111,2027
2021-09-21,San Benito,6984,67
2021-09-21,San Bernardino,338928,5520
2021-09-21,San Diego,353430,4021
2021-09-21,San Francisco,49905,609
2021-09-21,San Joaquin,93472,1621
2021-09-21,San Luis Obispo,27550,314
2021-09-21,San Mateo,51351,568
2021-09-21,Santa Barbara,41852,503
2021-09-21,Santa Clara,140255,1843
2021-09-21,Santa Cruz,19244,212
2021-09-21,Shasta,18385,258
2021-09-21,Sierra,127,0
2021-09-21,Siskiyou,2981,36
2021-09-21,Solano,43402,311
2021-09-21,Sonoma,39188,369
2021-09-21,Stanislaus,72894,1091
2021-09-21,Sutter,12993,153
2021-09-21,Tehama,7268,85
2021-09-21,Trinity,586,9
2021-09-21,Tulare,61224,896
2021-09-21,Tuolumne,6202,89
2021-09-21,Ventura,94195,1120
2021-09-21,Yolo,18425,239
2021-09-21,Yuba,9213,61
2021-09-20,Alameda,114147,1320
2021-09-20,Alpine,101,0
2021-09-20,Amador,4967,59
2021-09-20,Butte,18433,231
2021-09-20,Calaveras,3466,66
2021-09-20,Colusa,2385,16
2021-09-20,Contra Costa,94398,924
2021-09-20,Del Norte,3427,34
2021-09-20,El Dorado,14667,127
2021-09-20,Fresno,126387,1889
2021-09-20,Glenn,3162,25
2021-09-20,Humboldt,8047,80
2021-09-20,Imperial,31269,755
2021-09-20,Inyo,1669,39
2021-09-20,Kern,116198,1459
2021-09-20,Kings,28750,285
2021-09-20,Lake,6081,87
2021-09-20,Lassen,6251,25
2021-09-20,Los Angeles,1386217,25858
2021-09-20,Madera,20462,257
2021-09-20,Marin,16811,242
2021-09-20,Mariposa,914,5
2021-09-20,Mendocino,6687,67
2021-09-20,Merced,38422,536
2021-09-20,Modoc,460,5
2021-09-20,Mono,1503,3
2021-09-20,Monterey,46678,565
2021-09-20,Napa,12288,95
2021-09-20,Nevada,8313,84
2021-09-20,Orange,295108,5354
2021-09-20,Placer,33783,364
2021-09-20,Plumas,1229,5
2021-09-20,Riverside,343656,4802
2021-09-20,Sacramento,147707,2016
2021-09-20,San Benito,6978,67
